label	address	source
SLEEP	0xD001	https://github.com/mwenge/defender/blob/master/src/defa7.src#L8-L15
SUCIDE	0xD00A	https://github.com/mwenge/defender/blob/master/src/defa7.src#L17-L22
SCORE	0xD360	https://github.com/mwenge/defender/blob/master/src/defa7.src#L474-L535
SCRTRN	0xD3D9	https://github.com/mwenge/defender/blob/master/src/defa7.src#L551-L592
SCRTR0	0xD3DB	https://github.com/mwenge/defender/blob/master/src/defa7.src#L552-L592
HSRES	0xD43D	https://github.com/mwenge/defender/blob/master/src/defa7.src#L602-L608
ADVSW	0xD44B	https://github.com/mwenge/defender/blob/master/src/defa7.src#L611-L623
LCOIN	0xD46E	https://github.com/mwenge/defender/blob/master/src/defa7.src#L628-L630
RCOIN	0xD475	https://github.com/mwenge/defender/blob/master/src/defa7.src#L632-L634
CCOIN	0xD47C	https://github.com/mwenge/defender/blob/master/src/defa7.src#L636-L637
CN1	0xD499	https://github.com/mwenge/defender/blob/master/src/defa7.src#L651-L656
SNDLD	0xD54D	https://github.com/mwenge/defender/blob/master/src/defa7.src#L706-L721
SHELL	0xE453	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2609-L2643
BMBOUT	0xE498	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2645-L2662
FBOUT	0xE4D9	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2671-L2698
BKIL	0xE51E	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2700-L2719
LFIRE	0xE591	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2761-L2773
LCOL	0xE5AB	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2775-L2788
LASR	0xE5C1	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2790-L2837
LASR0	0xE5CB	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2796-L2830
LASL	0xE630	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2839-L2884
LASL0	0xE638	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2845-L2878
LASD	0xE69A	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2885-L2886
COLIDE	0xE6BA	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2904-L3020
COL0	0xE6BD	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2907-L3020
PLSTRT	0xD919	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1208-L1324
PLST1A	0xD93A	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1220-L1223
PLSTR3	0xD950	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1227-L1324
PLS01	0xDA1F	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1304-L1310
PLS1	0xDA32	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1312-L1315
STCHK	0xDA3C	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1319-L1324
PLEND	0xDA46	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1328-L1373
PDTHL	0xDA7C	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1352-L1358
PDTH2	0xDA8C	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1358-L1369
PDTH4	0xDAA8	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1370-L1376
PDTH5	0xDAB8	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1377-L1432
PXVCT	0xC00E	https://github.com/mwenge/defender/blob/master/src/phr6.src#L29-L29
PX1A	0xC649	https://github.com/mwenge/defender/blob/master/src/blk71.src#L626-L670
PDTH5R	0xDAC9	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1383-L1432
PDTH5SCLR	0xDADB	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1393-L1395
PLE02	0xDB15	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1413-L1422
PLE3	0xDB48	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1429-L1432
HALL1	0xC030	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6650-L6768;https://github.com/mwenge/defender/blob/master/src/amode1.src#L135-L232
HALL3A	0xC0CB	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6719-L6723;https://github.com/mwenge/defender/blob/master/src/amode1.src#L189-L193
HALL4	0xC0DA	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6726-L6736;https://github.com/mwenge/defender/blob/master/src/amode1.src#L193-L203
HALL5	0xC0F4	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6737-L6746;https://github.com/mwenge/defender/blob/master/src/amode1.src#L204-L214
HALL6	0xC10E	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6747-L6755;https://github.com/mwenge/defender/blob/master/src/amode1.src#L214-L221
HALL12	0xC12A	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6757-L6764;https://github.com/mwenge/defender/blob/master/src/amode1.src#L224-L231
HALL13	0xC144	https://github.com/mwenge/defender/blob/master/src/amode1.src#L229-L232
HOFST	0xC1DC	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6849-L6853;https://github.com/mwenge/defender/blob/master/src/amode1.src#L310-L313
HOFBL	0xC1E7	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6857-L6866;https://github.com/mwenge/defender/blob/master/src/amode1.src#L315-L323
HOFUD	0xC1FA	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6870-L6919;https://github.com/mwenge/defender/blob/master/src/amode1.src#L325-L371
HOFUD1	0xC1FD	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6873-L6919;https://github.com/mwenge/defender/blob/master/src/amode1.src#L328-L371
AMODES	0xC677	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7385-L7404;https://github.com/mwenge/defender/blob/master/src/amode1.src#L717-L730
LOGO	0xC6A2	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7409-L7587;https://github.com/mwenge/defender/blob/master/src/amode1.src#L735-L796
LOGO0	0xC6B0	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7414-L7473;https://github.com/mwenge/defender/blob/master/src/amode1.src#L740-L796
PRES	0xC730	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7477-L7489;https://github.com/mwenge/defender/blob/master/src/amode1.src#L800-L806
PRES1	0xC738	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7481-L7489;https://github.com/mwenge/defender/blob/master/src/amode1.src#L801-L806
DEFEND	0xC74C	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7493-L7496;https://github.com/mwenge/defender/blob/master/src/amode1.src#L810-L810
DEFENS	0xC754	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7497-L7533;https://github.com/mwenge/defender/blob/master/src/amode1.src#L811-L842
DEF33	0xC7B7	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7535-L7543;https://github.com/mwenge/defender/blob/master/src/amode1.src#L846-L852
DEF44	0xC7D4	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7544-L7550;https://github.com/mwenge/defender/blob/master/src/amode1.src#L853-L853
COPYRT	0xC7DC	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7555-L7591;https://github.com/mwenge/defender/blob/master/src/amode1.src#L857-L890
CPR55	0xC831	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7592-L7598;https://github.com/mwenge/defender/blob/master/src/amode1.src#L891-L895
CPR56	0xC845	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7600-L7600;https://github.com/mwenge/defender/blob/master/src/amode1.src#L896-L896
DEF50	0xC848	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7603-L7619;https://github.com/mwenge/defender/blob/master/src/amode1.src#L899-L909
DEF51	0xC867	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7616-L7619;https://github.com/mwenge/defender/blob/master/src/amode1.src#L909-L909
CREDS	0xC8F4	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7688-L7706;https://github.com/mwenge/defender/blob/master/src/amode1.src#L978-L990
WILLIR	0xC921	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7713-L7717;https://github.com/mwenge/defender/blob/master/src/amode1.src#L994-L996
WILR1	0xC92E	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7719-L7722;https://github.com/mwenge/defender/blob/master/src/amode1.src#L997-L999
SCORES	0xC936	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7725-L7732;https://github.com/mwenge/defender/blob/master/src/amode1.src#L1003-L1009
LEDRET	0xC351	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7040-L7055;https://github.com/mwenge/defender/blob/master/src/amode1.src#L477-L490
AMODE1	0xC412	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7121-L7126;https://github.com/mwenge/defender/blob/master/src/amode1.src#L515-L520
AMODE2	0xC429	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7130-L7135;https://github.com/mwenge/defender/blob/master/src/amode1.src#L521-L523
AMODE3	0xC475	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7167-L7181;https://github.com/mwenge/defender/blob/master/src/amode1.src#L549-L563
AMODE4	0xC49C	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7181-L7191;https://github.com/mwenge/defender/blob/master/src/amode1.src#L563-L568
AMODE5	0xC4B5	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7195-L7221;https://github.com/mwenge/defender/blob/master/src/amode1.src#L574-L593
AMODE7	0xC500	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7225-L7240;https://github.com/mwenge/defender/blob/master/src/amode1.src#L594-L604
AMODE8	0xC531	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7244-L7256;https://github.com/mwenge/defender/blob/master/src/amode1.src#L606-L623
AMOD12	0xC54F	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7259-L7276;https://github.com/mwenge/defender/blob/master/src/amode1.src#L625-L638
AMOD10	0xC585	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7280-L7285;https://github.com/mwenge/defender/blob/master/src/amode1.src#L639-L641
AMOD11	0xC598	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7289-L7304;https://github.com/mwenge/defender/blob/master/src/amode1.src#L642-L657
BMODE2	0xC5CA	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7308-L7312;https://github.com/mwenge/defender/blob/master/src/amode1.src#L658-L661
BMODE3	0xC5DA	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7315-L7322;https://github.com/mwenge/defender/blob/master/src/amode1.src#L662-L665
AMOD13	0xC5ED	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7323-L7324;https://github.com/mwenge/defender/blob/master/src/amode1.src#L666-L666
LASRS	0xC5F5	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7327-L7335;https://github.com/mwenge/defender/blob/master/src/amode1.src#L668-L677
LAS0	0xC605	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7335-L7360;https://github.com/mwenge/defender/blob/master/src/amode1.src#L675-L701
TEXTP	0xC64F	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7365-L7373;https://github.com/mwenge/defender/blob/master/src/amode1.src#L703-L708
TEXTP2	0xC66B	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L7377-L7380;https://github.com/mwenge/defender/blob/master/src/amode1.src#L709-L712
HALDIS	0xC263	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6927-L6995;https://github.com/mwenge/defender/blob/master/src/amode1.src#L379-L435
HALD3	0xC2EB	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6985-L6994;https://github.com/mwenge/defender/blob/master/src/amode1.src#L428-L434
HALD4	0xC304	https://github.com/mwenge/defender/blob/master/bin/defa7-defb6-amode1.lst#L6995-L6995;https://github.com/mwenge/defender/blob/master/src/amode1.src#L435-L435
ASTST	0xDBE1	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1517-L1541
ATTR	0xD825	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1083-L1086
FPLAY	0xD82B	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1090-L1097
ST1	0xD839	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1100-L1108
ST2	0xD84E	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1112-L1120
START	0xD861	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1124-L1175
START2	0xD8C3	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1163-L1175
TDISP	0xD665	https://github.com/mwenge/defender/blob/master/src/defa7.src#L862-L873
LDISP	0xD629	https://github.com/mwenge/defender/blob/master/src/defa7.src#L833-L860
SBDISP	0xD680	https://github.com/mwenge/defender/blob/master/src/defa7.src#L877-L904
BORDER	0xD6BC	https://github.com/mwenge/defender/blob/master/src/defa7.src#L906-L917
ON28	0xD0F9	https://github.com/mwenge/defender/blob/master/src/defa7.src#L168-L177
OFF28	0xD10B	https://github.com/mwenge/defender/blob/master/src/defa7.src#L179-L189
OFF58	0xD11F	https://github.com/mwenge/defender/blob/master/src/defa7.src#L191-L203
ON48	0xD139	https://github.com/mwenge/defender/blob/master/src/defa7.src#L205-L227
OFF48	0xD16B	https://github.com/mwenge/defender/blob/master/src/defa7.src#L229-L249
ON58	0xD193	https://github.com/mwenge/defender/blob/master/src/defa7.src#L251-L263
ON34	0xD1AD	https://github.com/mwenge/defender/blob/master/src/defa7.src#L265-L283
OFF34	0xD1D7	https://github.com/mwenge/defender/blob/master/src/defa7.src#L285-L295
ON23	0xD1F1	https://github.com/mwenge/defender/blob/master/src/defa7.src#L297-L310
OFF23	0xD20D	https://github.com/mwenge/defender/blob/master/src/defa7.src#L312-L320
ON64	0xD21F	https://github.com/mwenge/defender/blob/master/src/defa7.src#L322-L350
OFF64	0xD260	https://github.com/mwenge/defender/blob/master/src/defa7.src#L352-L370
ON86	0xD28E	https://github.com/mwenge/defender/blob/master/src/defa7.src#L372-L405
OFF86	0xD2DF	https://github.com/mwenge/defender/blob/master/src/defa7.src#L407-L430
ON66	0xD33D	https://github.com/mwenge/defender/blob/master/src/defa7.src#L453-L462
OFF66	0xD350	https://github.com/mwenge/defender/blob/master/src/defa7.src#L464-L472
DRTS	0xD8DB	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1170-L1175
CWRIT	0xF522	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1317-L1366
COFF	0xF57B	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1368-L1409
BLKCLR	0xF5C7	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1411-L1418
SCRCLR	0xF5D1	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1422-L1436
WCMOSA	0xF84E	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1791-L1800
PRDISP	0xE213	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2304-L2334
PLAYER	0xE263	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2339-L2476
COLCHK	0xE861	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3130-L3153
REV	0xE897	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3155-L3171
REV2	0xE8AE	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3165-L3169
REVX1	0xE8BC	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3169-L3171
REVX	0xE8BE	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3171-L3171
ASTRO	0xECC9	https://github.com/mwenge/defender/blob/master/src/defb6.src#L294-L359
ASTKIL	0xED70	https://github.com/mwenge/defender/blob/master/src/defb6.src#L384-L417
NOKILL	0xEDBC	https://github.com/mwenge/defender/blob/master/src/defb6.src#L414-L417
TERBLO	0xEDEA	https://github.com/mwenge/defender/blob/master/src/defb6.src#L439-L492
TBL3	0xEE44	https://github.com/mwenge/defender/blob/master/src/defb6.src#L479-L487
TBL4	0xEE54	https://github.com/mwenge/defender/blob/master/src/defb6.src#L488-L494
P250	0xEE65	https://github.com/mwenge/defender/blob/master/src/defb6.src#L499-L502
P500	0xEE73	https://github.com/mwenge/defender/blob/master/src/defb6.src#L506-L508
P503	0xEEB2	https://github.com/mwenge/defender/blob/master/src/defb6.src#L524-L526
UFOST	0xEA80	https://github.com/mwenge/defender/blob/master/src/defb6.src#L3-L24
UFOLP	0xEAB4	https://github.com/mwenge/defender/blob/master/src/defb6.src#L26-L46
UFOKIL	0xEB2B	https://github.com/mwenge/defender/blob/master/src/defb6.src#L80-L82
PRBST	0xEB36	https://github.com/mwenge/defender/blob/master/src/defb6.src#L90-L114
PRBKIL	0xEB74	https://github.com/mwenge/defender/blob/master/src/defb6.src#L119-L125
RANDV	0xEB89	https://github.com/mwenge/defender/blob/master/src/defb6.src#L127-L140
MMSW	0xEB9E	https://github.com/mwenge/defender/blob/master/src/defb6.src#L144-L174
MSWKIL	0xEBE9	https://github.com/mwenge/defender/blob/master/src/defb6.src#L176-L187
MSWM	0xEC17	https://github.com/mwenge/defender/blob/master/src/defb6.src#L198-L287
MSWLP	0xEC2A	https://github.com/mwenge/defender/blob/master/src/defb6.src#L207-L287
SWBMB	0xEC86	https://github.com/mwenge/defender/blob/master/src/defb6.src#L253-L287
SHOOT	0xEEBA	https://github.com/mwenge/defender/blob/master/src/defb6.src#L531-L570
SCZST	0xEF15	https://github.com/mwenge/defender/blob/master/src/defb6.src#L590-L622
SCZKIL	0xEF6D	https://github.com/mwenge/defender/blob/master/src/defb6.src#L624-L626
LANDST	0xEF9C	https://github.com/mwenge/defender/blob/master/src/defb6.src#L649-L685
LANDS0	0xEFF6	https://github.com/mwenge/defender/blob/master/src/defb6.src#L690-L740
LANDG	0xF074	https://github.com/mwenge/defender/blob/master/src/defb6.src#L746-L798
LANDF	0xF0E6	https://github.com/mwenge/defender/blob/master/src/defb6.src#L798-L802
LNDFXA	0xF101	https://github.com/mwenge/defender/blob/master/src/defb6.src#L804-L827
SCZ00	0xF13E	https://github.com/mwenge/defender/blob/master/src/defb6.src#L828-L841
SCZ0	0xF15E	https://github.com/mwenge/defender/blob/master/src/defb6.src#L844-L901
AKIL1	0xED91	https://github.com/mwenge/defender/blob/master/src/defb6.src#L398-L417
LKIL1	0xF1E0	https://github.com/mwenge/defender/blob/master/src/defb6.src#L905-L918
LKILL	0xF20B	https://github.com/mwenge/defender/blob/master/src/defb6.src#L920-L922
AFALL	0xF216	https://github.com/mwenge/defender/blob/master/src/defb6.src#L927-L944
AFALL2	0xF24C	https://github.com/mwenge/defender/blob/master/src/defb6.src#L945-L957
TIEST	0xF29D	https://github.com/mwenge/defender/blob/master/src/defb6.src#L977-L1021
TIE	0xF2F7	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1024-L1116
TIEKIL	0xF3BC	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1120-L1128
SBOMB	0xE8C1	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3173-L3209
SBMBX0	0xE8F6	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3199-L3200
SBMBX1	0xE900	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3200-L3202
SBX10	0xE904	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3203-L3204
SBX1A	0xE90C	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3203-L3207
SBX2A	0xE91A	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3207-L3209
SBMBX2	0xE91C	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3208-L3209
HYPER	0xE91F	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3213-L3219
HYP02	0xE936	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3220-L3271
HYP2	0xE9AC	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3272-L3278
HYPX	0xE9BC	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3278-L3278
THPROC	0xE9BF	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3280-L3294
SCPROC	0xE9E3	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3298-L3307
SCP1	0xE9EE	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3302-L3304
SCP2	0xE9FC	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3305-L3307
OSCAN	0xEA0A	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3311-L3328
ISCAN	0xEA33	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3333-L3373
SHSCAN	0xE56A	https://github.com/mwenge/defender/blob/master/src/defa7.src#L2742-L2756
SCNRV	0xC003	https://github.com/mwenge/defender/blob/master/src/phr6.src#L66-L71
BGOUT	0xC003	https://github.com/mwenge/defender/blob/master/src/phr6.src#L23-L29
ALINIT	0xC006	https://github.com/mwenge/defender/blob/master/src/phr6.src#L23-L29
BGINIT	0xC000	https://github.com/mwenge/defender/blob/master/src/phr6.src#L23-L29
BGERAS	0xC009	https://github.com/mwenge/defender/blob/master/src/phr6.src#L23-L29
SCLR1	0xF5F1	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1439-L1472
PLRES	0xDC1E	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1548-L1606
GEXEC	0xDCD9	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1647-L1731
GEX0	0xDCEA	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1654-L1731
GEXBON	0xDD02	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1663-L1666
RMAX	0xDD9E	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1735-L1742
WVCHK	0xDDAE	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1748-L1756
BONUS	0xDDEC	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1788-L1831
BC1	0xDE66	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1838-L1841
BC2	0xDE6C	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1842-L1844
BC3	0xDE79	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1844-L1845
GETWV	0xDE7C	https://github.com/mwenge/defender/blob/master/src/defa7.src#L1849-L1901
COLR	0xE782	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3024-L3037
COLRLP	0xE784	https://github.com/mwenge/defender/blob/master/src/defa7.src#L3025-L3033
FLPUP	0xF493	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1232-L1243
FLP2	0xF4B0	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1242-L1243
CBOMB	0xF464	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1213-L1228
CBMB1	0xF472	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1217-L1228
TIECOL	0xF43D	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1195-L1205
TIECL	0xF44A	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1198-L1205
BGI	0xF4FA	https://github.com/mwenge/defender/blob/master/src/defb6.src#L1287-L1289
